"","x"
"261","B Communication (Creative Writing)M Teaching in Secondary Ed (English/EALD) at UTS"
"262","B Communication (Creative Writing)M Teaching in Secondary Education (English) at UTS"
"263","B Bus(International Hotel & Resort Mgt)at Blue Mountains International Hotel Mgt School at TUA(DFEE)"
"264","Bachelor of Software Engineering (Cloud Computing) at Media Design School at TUA (DFEE)"
"265","Bachelor of Software Engineering (Artificial Intelligence) at Media Design School at TUA (DFEE)"
"266","Bachelor of Software Engineering (Game Programming) at Media Design School at TUA (DFEE)"
"267","Bachelor of Game Design and Development at Media Design School at TUA (DFEE)"
"268","Bachelor of Education (Secondary: Science)/Bachelor of Science at University of Sydney"
"269","Bachelor of Education (Secondary: Mathematics)/Bachelor of Science at University of Sydney"
"270","Bachelor of Education (Sec: Humanities & Social Sciences)/Bachelor of Arts at University of Sydney"
"271","Bachelor of Technology/Bachelor of Education (Secondary) at Southern Cross University, Distance"
"272","Bachelor of Arts/Bachelor of Education (Secondary) at Southern Cross University, Gold Coast"
"273","Bachelor of Arts/Bachelor of Education (Primary/Secondary) at Southern Cross University, Gold Coast"
"274","Bachelor of Arts/Bachelor of Education (Primary/Early Childhood)at Southern Cross Uni, Gold Coast"
"275","Bachelor of Arts/Bachelor of Education (Primary) at Southern Cross University, Gold Coast"
"276","Bachelor of Arts/Bachelor of Education (Secondary) at Southern Cross University, Coffs Harbour"
"277","Bachelor of Arts/Bachelor of Education (Prim/Sec) at Southern Cross University, Coffs Harbour"
"278","B Arts/Bachelor of Education (Primary/Early Childhood) at Southern Cross University, Coffs Harbour"
"279","Bachelor of Arts/Bachelor of Education (Primary) at Southern Cross University, Coffs Harbour"
"280","Bachelor of Arts/Bachelor of Education (Secondary) at Southern Cross University, Lismore"
"281","Bachelor of Arts/Bachelor of Education (Primary/Secondary) at Southern Cross University, Lismore"
"282","Bachelor of Arts/Bachelor of Education (Primary/Early Childhood)at Southern Cross University,Lismore"
"283","Bachelor of Arts/Bachelor of Education (Primary) at Southern Cross University, Lismore"
"284","Bachelor of Outdoor Education at Charles Sturt University, Albury-Wodonga"
"285","Bachelor of Education(Secondary)/Bachelor of Arts (Technology) at ACU, Strathfield campus"
"286","Diploma in Health Science (Health and Physical Education) (Extended) at Western Sydney, The College"
"287","Dip Design (Extended)- Graphic Design (Pathway to Teaching Secondary) at Western Sydney, The College"
"288","Diploma in Arts (Extended) - Pathway to Teaching Secondary at Western Sydney, The College"
"289","Diploma in Arts (Extended) - Pathway to Teaching Primary at Western Sydney, The College"
"290","Diploma in Arts (Extended) - Pathway to Teaching B-5/B-12 at Western Sydney, The College"
"291","Diploma of Game Design & Developing at Media Design School at TUA (DFEE)"
"292","Diploma of Software Engineering at Media Design School at TUA (DFEE)"
"293","Diploma of Software Engineering on campus or online at Media Design School at TUA (DFEE)"
"294","B Engineering (Specialisation) with Honours (Co-operative Education) at Australian Maritime College"
"295","Bachelor of Science (Zoology) - (Pathway to Teaching Primary/Secondary) at Western Sydney University"
"296","B Science (Nutrition&Food Sc) - (Pathway to Teaching Primary/Secondary) at Western Sydney University"
"297","B Science (Microbiology) - (Pathway to Teaching Primary/Secondary) at Western Sydney University"
"298","B Science (Mathematics) - (Pathway to Teaching Primary/Secondary) at Western Sydney University"
"299","B Science (Forensic Chemistry) -(Pathway to Teaching Primary/Secondary) at Western Sydney University"
"300","B Science (Forensic Biology) - (Pathway to Teaching Primary/Secondary) at Western Sydney University"
"301","B Science (Environmental Futures) - (Pathway to Teaching Prim/Sec) at Western Sydney University"
"302","Bachelor of Science (Ecology) - (Pathway to Teaching Primary/Secondary) at Western Sydney University"
"303","Bachelor of Science (Data Sc) - (Pathway to Teaching Primary/Secondary) at Western Sydney University"
"304","B Science (Chemistry) - (Pathway to Teaching Primary/Secondary) at Western Sydney University"
"305","B Science (Biology) - (Pathway to Teaching Primary/Secondary) at Western Sydney University"
"306","Bachelor of Science (Biology) - (Pathway to Teaching Primary/Secondary) at Western Sydney University"
"307","B Science (Applied Physics) - (Pathway to Teaching Primary/Secondary) at Western Sydney University"
"308","B Science (Animal Science) - (Pathway to Teaching Primary/Secondary) at Western Sydney University"
